symbol, hexCode, length
0, 0x8, 13
1, 0x8, 23
2, 0x2, 28
3, 0x3, 28
4, 0x4, 28
5, 0x5, 28
6, 0x6, 28
7, 0x7, 28
8, 0x8, 28
9, 0xa, 24
10, 0xc, 30
11, 0x9, 28
12, 0xa, 28
13, 0xd, 30
14, 0xb, 28
15, 0xc, 28
16, 0xd, 28
17, 0xe, 28
18, 0xf, 28
19, 0x0, 28
20, 0x1, 28
21, 0x2, 28
22, 0xe, 30
23, 0x3, 28
24, 0x4, 28
25, 0x5, 28
26, 0x6, 28
27, 0x7, 28
28, 0x8, 28
29, 0x9, 28
30, 0xa, 28
31, 0xb, 28
32, 0x4, 6
33, 0x8, 10
34, 0x9, 10
35, 0xa, 12
36, 0x9, 13
37, 0x5, 6
38, 0x8, 8
39, 0xa, 11
40, 0xa, 10
41, 0xb, 10
42, 0x9, 8
43, 0xb, 11
44, 0xa, 8
45, 0x6, 6
46, 0x7, 6
47, 0x8, 6
48, 0x0, 5
49, 0x1, 5
50, 0x2, 5
51, 0x9, 6
52, 0xa, 6
53, 0xb, 6
54, 0xc, 6
55, 0xd, 6
56, 0xe, 6
57, 0xf, 6
58, 0xc, 7
59, 0xb, 8
60, 0xc, 15
61, 0x0, 6
62, 0xb, 12
63, 0xc, 10
64, 0xa, 13
65, 0x1, 6
66, 0xd, 7
67, 0xe, 7
68, 0xf, 7
69, 0x0, 7
70, 0x1, 7
71, 0x2, 7
72, 0x3, 7
73, 0x4, 7
74, 0x5, 7
75, 0x6, 7
76, 0x7, 7
77, 0x8, 7
78, 0x9, 7
79, 0xa, 7
80, 0xb, 7
81, 0xc, 7
82, 0xd, 7
83, 0xe, 7
84, 0xf, 7
85, 0x0, 7
86, 0x1, 7
87, 0x2, 7
88, 0xc, 8
89, 0x3, 7
90, 0xd, 8
91, 0xb, 13
92, 0x0, 19
93, 0xc, 13
94, 0xc, 14
95, 0x2, 6
96, 0xd, 15
97, 0x3, 5
98, 0x3, 6
99, 0x4, 5
100, 0x4, 6
101, 0x5, 5
102, 0x5, 6
103, 0x6, 6
104, 0x7, 6
105, 0x6, 5
106, 0x4, 7
107, 0x5, 7
108, 0x8, 6
109, 0x9, 6
110, 0xa, 6
111, 0x7, 5
112, 0xb, 6
113, 0x6, 7
114, 0xc, 6
115, 0x8, 5
116, 0x9, 5
117, 0xd, 6
118, 0x7, 7
119, 0x8, 7
120, 0x9, 7
121, 0xa, 7
122, 0xb, 7
123, 0xe, 15
124, 0xc, 11
125, 0xd, 14
126, 0xd, 13
127, 0xc, 28
128, 0x6, 20
129, 0x2, 22
130, 0x7, 20
131, 0x8, 20
132, 0x3, 22
133, 0x4, 22
134, 0x5, 22
135, 0x9, 23
136, 0x6, 22
137, 0xa, 23
138, 0xb, 23
139, 0xc, 23
140, 0xd, 23
141, 0xe, 23
142, 0xb, 24
143, 0xf, 23
144, 0xc, 24
145, 0xd, 24
146, 0x7, 22
147, 0x0, 23
148, 0xe, 24
149, 0x1, 23
150, 0x2, 23
151, 0x3, 23
152, 0x4, 23
153, 0xc, 21
154, 0x8, 22
155, 0x5, 23
156, 0x9, 22
157, 0x6, 23
158, 0x7, 23
159, 0xf, 24
160, 0xa, 22
161, 0xd, 21
162, 0x9, 20
163, 0xb, 22
164, 0xc, 22
165, 0x8, 23
166, 0x9, 23
167, 0xe, 21
168, 0xa, 23
169, 0xd, 22
170, 0xe, 22
171, 0x0, 24
172, 0xf, 21
173, 0xf, 22
174, 0xb, 23
175, 0xc, 23
176, 0x0, 21
177, 0x1, 21
178, 0x0, 22
179, 0x2, 21
180, 0xd, 23
181, 0x1, 22
182, 0xe, 23
183, 0xf, 23
184, 0xa, 20
185, 0x2, 22
186, 0x3, 22
187, 0x4, 22
188, 0x0, 23
189, 0x5, 22
190, 0x6, 22
191, 0x1, 23
192, 0x0, 26
193, 0x1, 26
194, 0xb, 20
195, 0x1, 19
196, 0x7, 22
197, 0x2, 23
198, 0x8, 22
199, 0xc, 25
200, 0x2, 26
201, 0x3, 26
202, 0x4, 26
203, 0xe, 27
204, 0xf, 27
205, 0x5, 26
206, 0x1, 24
207, 0xd, 25
208, 0x2, 19
209, 0x3, 21
210, 0x6, 26
211, 0x0, 27
212, 0x1, 27
213, 0x7, 26
214, 0x2, 27
215, 0x2, 24
216, 0x4, 21
217, 0x5, 21
218, 0x8, 26
219, 0x9, 26
220, 0xd, 28
221, 0x3, 27
222, 0x4, 27
223, 0x5, 27
224, 0xc, 20
225, 0x3, 24
226, 0xd, 20
227, 0x6, 21
228, 0x9, 22
229, 0x7, 21
230, 0x8, 21
231, 0x3, 23
232, 0xa, 22
233, 0xb, 22
234, 0xe, 25
235, 0xf, 25
236, 0x4, 24
237, 0x5, 24
238, 0xa, 26
239, 0x4, 23
240, 0xb, 26
241, 0x6, 27
242, 0xc, 26
243, 0xd, 26
244, 0x7, 27
245, 0x8, 27
246, 0x9, 27
247, 0xa, 27
248, 0xb, 27
249, 0xe, 28
250, 0xc, 27
251, 0xd, 27
252, 0xe, 27
253, 0xf, 27
254, 0x0, 27
255, 0xe, 26
256, 0xf, 30
